Route_long_name,Transport_type,Stop_name,Stop_search,Stop_lat,Stop_lon,Arrival_time,avg_sentiment,avg_rating,main_sentiment
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Bertam Baru,KTM BERTAM BARU,5.142897,102.045598,24:24:00,0.1425611111111111,3.7777777777777777,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,B.Betong,KTM BUKIT BETONG,4.39984,101.92368,27:03:00,0.1302,4.285714285714286,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Chamek,KTM CHAMEK,2.143042,103.238584,33:44:00,0.0,3.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Chegar Perah,KTM CHEGAR PERAH,4.49059,101.94379,26:39:00,0.074,4.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,DANGA CITY MALL,KTM DANGA CITY MALL,1.4753,103.7548,35:30:00,-0.1101,4.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Dura,KTM DURA,4.459419,101.940204,26:51:00,0.6588,5.0,Positive
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Gemas,KTM GEMAS,2.579606,102.611682,32:11:00,0.112937,4.56,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Gua Musang,KTM GUA MUSANG,4.878941,101.966634,25:33:00,0.18865913978494625,4.440860215053763,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,HOLIDAY PLAZA,KTM HOLIDAY PLAZA,1.488583,103.759833,35:27:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,JB SENTRAL,KTM JB SENTRAL,1.463147,103.764445,35:35:00,0.102807,4.49,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Jenderak,KTM JENDERAK,3.807343,102.359165,28:40:00,0.07106,4.4,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,JERANSONG,KTM JERANSONG,3.937265,102.357945,28:27:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Jerantut,KTM JERANTUT,3.937265,102.357945,28:24:00,0.1568179487179487,4.384615384615385,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Jerek Baru,KTM Jerek Baru,5.1739,102.00993,24:10:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Kg.Berkam,KTM KAMPUNG BERKAM,4.20116,102.05187,26:56:00,0.3294,3.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Kampung Sg.Sirian,KTM KAMPUNG SUNGAI SIRIAN,5.02507,102.03904,24:55:00,0.0,3.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Kemayan,KTM KEMAYAN,3.135827,102.370571,30:19:00,0.057514285714285705,3.2857142857142856,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Kempas Bahru,KTM KEMPAS BARU,1.535744,103.721801,35:15:00,0.194408,4.57,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,KG TELANG,KTM KG TELANG,4.186634,102.053791,27:06:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Kluang,KTM KLUANG,2.033666,103.31773,33:59:00,0.15718,4.21,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,KUALA LIPIS,KTM KUALA LIPIS,4.186634,102.053791,27:21:00,0.2152770833333333,4.75,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,KUBANG RUSA,KTM KUBANG RUSA,4.69314,102.00328,26:14:00,0.0,5.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Kulai,KTM KULAI,1.663129,103.600489,34:50:00,0.11362058823529413,3.588235294117647,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Labis,KTM LABIS,2.383181,103.019587,33:11:00,0.10606666666666666,4.666666666666667,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,LAPAN TUPAI,KTM LAPAN TUPAI,4.878941,101.966634,25:41:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Layang-Layang,KTM LAYANG-LAYANG,1.813828,103.475791,34:30:00,0.0252875,4.75,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Limau Kasturi,KTM LIMAU KASTURI,5.08019,102.06936,24:40:00,0.08270909090909091,4.363636363636363,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,LONDAH,KTM LONDAH,2.810356,102.404968,31:42:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Mela,KTM MELA,4.10555,102.3154,28:06:00,0.004150000000000001,4.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Mengkarak,KTM MENGKARAK,3.33114,102.418784,29:46:00,0.0,3.25,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Mengkibol,KTM MENGKIBOL,1.975921,103.334342,34:07:00,0.0,5.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Mengkuang,KTM MENGKUANG,5.330575,102.203137,30:06:00,0.11717999999999999,4.8,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Mentakab,KTM MENTAKAB,3.483896,102.343041,29:18:00,0.13664520547945205,4.424657534246576,Neutral
