Stop_search,Stop_name,Route_long_name,Transport_type,avg_sentiment,avg_rating,main_sentiment
KTM KAMPUNG RAJA UDA,Kampung Raja Uda,,KTM,0.07547560975609756,3.7560975609756095,Neutral
KTM KAMPUNG SUNGAI SIRIAN,Kampung Sg.Sirian,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.0,3.0,Neutral
KTM KAMPUNG SUNGAI SIRIAN,Kampung Sg.Sirian,Intercity Shuttle Tumpat - Gemas,KTM,0.0,3.0,Neutral
KTM KAMUNTING,KAMUNTING,KTM Butterworth - Ipoh,KTM,0.010839999999999995,3.68,Neutral
KTM KAMUNTING,KAMUNTING,Electric Train Service Padang Besar - Gemas,KTM,0.010839999999999995,3.68,Neutral
KTM KEMAYAN,Kemayan,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.057514285714285705,3.2857142857142856,Neutral
KTM KEMAYAN,Kemayan,Intercity Shuttle Tumpat - Gemas,KTM,0.057514285714285705,3.2857142857142856,Neutral
KTM KEMPAS BARU,Kempas Bahru,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.194408,4.57,Neutral
KTM KEMUBU,Kemubu,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.3852857142857143,4.571428571428571,Positive
KTM KEMUBU,Kemubu,Intercity Shuttle Tumpat - Gemas,KTM,0.3852857142857143,4.571428571428571,Positive
KTM KEPONG,KEPONG,,KTM,0.007018461538461539,3.2,Neutral
KTM KEPONG,KEPONG,Electric Train Service Padang Besar - Gemas,KTM,0.007018461538461539,3.2,Neutral
KTM KEPONG SENTRAL,Kepong Sentral,,KTM,0.0008780000000000016,3.42,Neutral
KTM KEPONG SENTRAL,Kepong Sentral,Electric Train Service Padang Besar - Gemas,KTM,0.0008780000000000016,3.42,Neutral
KTM KG BARU BUKIT ABU,Kg Baru Bukit Abu,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.0,4.0,Neutral
KTM KG BARU BUKIT ABU,Kg Baru Bukit Abu,Intercity Shuttle Tumpat - Gemas,KTM,0.0,4.0,Neutral
KTM KG TELANG,KG TELANG,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,,,
KTM KG TELANG,KG TELANG,Intercity Shuttle Tumpat - Gemas,KTM,,,
KTM KG.DATO HARUN,Kg.Datuk Harun,,KTM,0.09463809523809524,3.4761904761904763,Neutral
KTM KL SENTRAL,KL SENTRAL,,KTM,0.042642,3.67,Neutral
KTM KL SENTRAL,KL SENTRAL,Electric Train Service Padang Besar - Gemas,KTM,0.042642,3.67,Neutral
KTM KLANG,KLANG,,KTM,0.043880999999999996,3.8,Neutral
KTM KLUANG,Kluang,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.15718,4.21,Neutral
KTM KOBAH,Kobah,KTM Butterworth - Padang Besar,KTM,-0.016904918032786886,3.5901639344262297,Neutral
KTM KOBAH,Kobah,Electric Train Service Padang Besar - Gemas,KTM,-0.016904918032786886,3.5901639344262297,Neutral
KTM KODIANG,KODIANG,KTM Butterworth - Padang Besar,KTM,0.012718000000000002,3.92,Neutral
KTM KODIANG,KODIANG,Electric Train Service Padang Besar - Gemas,KTM,0.012718000000000002,3.92,Neutral
KTM KOTA BHARU (PK),KOTA BHARU (PK),Electric Train Service Padang Besar - Gemas,KTM,,,
KTM KRAMBIT,Krambit,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,,,
KTM KRAMBIT,Krambit,Intercity Shuttle Tumpat - Gemas,KTM,,,
KTM KUALA GRIS,Kuala Gris,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.24675,4.833333333333333,Neutral
KTM KUALA GRIS,Kuala Gris,Intercity Shuttle Tumpat - Gemas,KTM,0.24675,4.833333333333333,Neutral
KTM KUALA KANGSAR,Kuala Kangsar,KTM Butterworth - Ipoh,KTM,0.14729268292682926,3.902439024390244,Neutral
KTM KUALA KANGSAR,Kuala Kangsar,Electric Train Service Padang Besar - Gemas,KTM,0.14729268292682926,3.902439024390244,Neutral
KTM KUALA KRAI,Kuala Krai,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.07216190476190476,3.9523809523809526,Neutral
KTM KUALA KRAI,Kuala Krai,Intercity Shuttle Tumpat - Gemas,KTM,0.07216190476190476,3.9523809523809526,Neutral
KTM KUALA KRAU,Kuala Krau,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.09391818181818183,4.454545454545454,Neutral
KTM KUALA KRAU,Kuala Krau,Intercity Shuttle Tumpat - Gemas,KTM,0.09391818181818183,4.454545454545454,Neutral
KTM KUALA KUBU BARU,KUALA KUBU BARU,,KTM,0.03708333333333333,3.738095238095238,Neutral
KTM KUALA KUBU BARU,KUALA KUBU BARU,Electric Train Service Padang Besar - Gemas,KTM,0.03708333333333333,3.738095238095238,Neutral
